Title,Link,Difficulty,Topic
"Find the Index of the First Occurrence in a String","https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string","EASY","Two Pointers, String, String Matching"
"Rearrange Array Elements by Sign","https://leetcode.com/problems/rearrange-array-elements-by-sign","MEDIUM","Array, Two Pointers, Simulation"
"Longest Palindromic Substring","https://leetcode.com/problems/longest-palindromic-substring","MEDIUM","Two Pointers, String, Dynamic Programming"
"Number of Islands","https://leetcode.com/problems/number-of-islands","MEDIUM","Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
"Palindrome Partitioning","https://leetcode.com/problems/palindrome-partitioning","MEDIUM","String, Dynamic Programming, Backtracking"
"Add Two Numbers","https://leetcode.com/problems/add-two-numbers","MEDIUM","Linked List, Math, Recursion"
"Single Element in a Sorted Array","https://leetcode.com/problems/single-element-in-a-sorted-array","MEDIUM","Array, Binary Search"
"Reverse Nodes in k-Group","https://leetcode.com/problems/reverse-nodes-in-k-group","HARD","Linked List, Recursion"
"Climbing Stairs","https://leetcode.com/problems/climbing-stairs","EASY","Math, Dynamic Programming, Memoization"
"Sqrt(x)","https://leetcode.com/problems/sqrtx","EASY","Math, Binary Search"
"Merge Two Sorted Lists","https://leetcode.com/problems/merge-two-sorted-lists","EASY","Linked List, Recursion"
"Missing Number","https://leetcode.com/problems/missing-number","EASY","Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
"House Robber","https://leetcode.com/problems/house-robber","MEDIUM","Array, Dynamic Programming"
"Gas Station","https://leetcode.com/problems/gas-station","MEDIUM","Array, Greedy"
"Create a DataFrame from List","https://leetcode.com/problems/create-a-dataframe-from-list","EASY",""
"Maximum Product of Three Numbers","https://leetcode.com/problems/maximum-product-of-three-numbers","EASY","Array, Math, Sorting"
"4Sum","https://leetcode.com/problems/4sum","MEDIUM","Array, Two Pointers, Sorting"
"Minimum Window Substring","https://leetcode.com/problems/minimum-window-substring","HARD","Hash Table, String, Sliding Window"
"Integer to Roman","https://leetcode.com/problems/integer-to-roman","MEDIUM","Hash Table, Math, String"
"Koko Eating Bananas","https://leetcode.com/problems/koko-eating-bananas","MEDIUM","Array, Binary Search"
"Best Time to Buy and Sell Stock II","https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii","MEDIUM","Array, Dynamic Programming, Greedy"
"Subsets","https://leetcode.com/problems/subsets","MEDIUM","Array, Backtracking, Bit Manipulation"
"Container With Most Water","https://leetcode.com/problems/container-with-most-water","MEDIUM","Array, Two Pointers, Greedy"
"Implement Queue using Stacks","https://leetcode.com/problems/implement-queue-using-stacks","EASY","Stack, Design, Queue"
"Search in Rotated Sorted Array","https://leetcode.com/problems/search-in-rotated-sorted-array","MEDIUM","Array, Binary Search"
"Binary Search","https://leetcode.com/problems/binary-search","EASY","Array, Binary Search"
"Isomorphic Strings","https://leetcode.com/problems/isomorphic-strings","EASY","Hash Table, String"
"To Lower Case","https://leetcode.com/problems/to-lower-case","EASY","String"
"Kids With the Greatest Number of Candies","https://leetcode.com/problems/kids-with-the-greatest-number-of-candies","EASY","Array"
"Subarray Sum Equals K","https://leetcode.com/problems/subarray-sum-equals-k","MEDIUM","Array, Hash Table, Prefix Sum"
"Combination Sum","https://leetcode.com/problems/combination-sum","MEDIUM","Array, Backtracking"
"Maximum Depth of Binary Tree","https://leetcode.com/problems/maximum-depth-of-binary-tree","EASY","Tree, Depth-First Search, Breadth-First Search, Binary Tree"
"String to Integer (atoi)","https://leetcode.com/problems/string-to-integer-atoi","MEDIUM","String"
"Jump Game","https://leetcode.com/problems/jump-game","MEDIUM","Array, Dynamic Programming, Greedy"
"Car Fleet","https://leetcode.com/problems/car-fleet","MEDIUM","Array, Stack, Sorting, Monotonic Stack"
"Median of Two Sorted Arrays","https://leetcode.com/problems/median-of-two-sorted-arrays","HARD","Array, Binary Search, Divide and Conquer"
"Edit Distance","https://leetcode.com/problems/edit-distance","MEDIUM","String, Dynamic Programming"
"Greatest Common Divisor of Strings","https://leetcode.com/problems/greatest-common-divisor-of-strings","EASY","Math, String"
"Replace Employee ID With The Unique Identifier","https://leetcode.com/problems/replace-employee-id-with-the-unique-identifier","EASY","Database"
"Find the Duplicate Number","https://leetcode.com/problems/find-the-duplicate-number","MEDIUM","Array, Two Pointers, Binary Search, Bit Manipulation"
"Maximum Score Words Formed by Letters","https://leetcode.com/problems/maximum-score-words-formed-by-letters","HARD","Array, String, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
"Valid Palindrome","https://leetcode.com/problems/valid-palindrome","EASY","Two Pointers, String"
"Combination Sum II","https://leetcode.com/problems/combination-sum-ii","MEDIUM","Array, Backtracking"
"Pow(x, n)","https://leetcode.com/problems/powx-n","MEDIUM","Math, Recursion"
"Average Time of Process per Machine","https://leetcode.com/problems/average-time-of-process-per-machine","EASY","Database"
"Roman to Integer","https://leetcode.com/problems/roman-to-integer","EASY","Hash Table, Math, String"
