Title,Link,Difficulty,Topic
"Search a 2D Matrix","https://leetcode.com/problems/search-a-2d-matrix","MEDIUM","Array, Binary Search, Matrix"
"String to Integer (atoi)","https://leetcode.com/problems/string-to-integer-atoi","MEDIUM","String"
"Product of Array Except Self","https://leetcode.com/problems/product-of-array-except-self","MEDIUM","Array, Prefix Sum"
"Subarray Sum Equals K","https://leetcode.com/problems/subarray-sum-equals-k","MEDIUM","Array, Hash Table, Prefix Sum"
"House Robber","https://leetcode.com/problems/house-robber","MEDIUM","Array, Dynamic Programming"
"Pow(x, n)","https://leetcode.com/problems/powx-n","MEDIUM","Math, Recursion"
"Word Search","https://leetcode.com/problems/word-search","MEDIUM","Array, String, Backtracking, Depth-First Search, Matrix"
"Linked List Cycle","https://leetcode.com/problems/linked-list-cycle","EASY","Hash Table, Linked List, Two Pointers"
"Next Permutation","https://leetcode.com/problems/next-permutation","MEDIUM","Array, Two Pointers"
"Pascal's Triangle","https://leetcode.com/problems/pascals-triangle","EASY","Array, Dynamic Programming"
"Find Peak Element","https://leetcode.com/problems/find-peak-element","MEDIUM","Array, Binary Search"
"Climbing Stairs","https://leetcode.com/problems/climbing-stairs","EASY","Math, Dynamic Programming, Memoization"
"Sqrt(x)","https://leetcode.com/problems/sqrtx","EASY","Math, Binary Search"
"Missing Number","https://leetcode.com/problems/missing-number","EASY","Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
"Minimum Size Subarray Sum","https://leetcode.com/problems/minimum-size-subarray-sum","MEDIUM","Array, Binary Search, Sliding Window, Prefix Sum"
"Insert Delete GetRandom O(1)","https://leetcode.com/problems/insert-delete-getrandom-o1","MEDIUM","Array, Hash Table, Math, Design, Randomized"
"Top K Frequent Elements","https://leetcode.com/problems/top-k-frequent-elements","MEDIUM","Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
"Maximum Product Subarray","https://leetcode.com/problems/maximum-product-subarray","MEDIUM","Array, Dynamic Programming"
"Gas Station","https://leetcode.com/problems/gas-station","MEDIUM","Array, Greedy"
"Minimum Number of Arrows to Burst Balloons","https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons","MEDIUM","Array, Greedy, Sorting"
"Find Median from Data Stream","https://leetcode.com/problems/find-median-from-data-stream","HARD","Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
"Maximal Square","https://leetcode.com/problems/maximal-square","MEDIUM","Array, Dynamic Programming, Matrix"
"Decode String","https://leetcode.com/problems/decode-string","MEDIUM","String, Stack, Recursion"
"Maximum XOR of Two Numbers in an Array","https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array","MEDIUM","Array, Hash Table, Bit Manipulation, Trie"
"Next Greater Element I","https://leetcode.com/problems/next-greater-element-i","EASY","Array, Hash Table, Stack, Monotonic Stack"
"Best Time to Buy and Sell Stock IV","https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv","HARD","Array, Dynamic Programming"
"Pascal's Triangle II","https://leetcode.com/problems/pascals-triangle-ii","EASY","Array, Dynamic Programming"
"Set Matrix Zeroes","https://leetcode.com/problems/set-matrix-zeroes","MEDIUM","Array, Hash Table, Matrix"
"Letter Combinations of a Phone Number","https://leetcode.com/problems/letter-combinations-of-a-phone-number","MEDIUM","Hash Table, String, Backtracking"
"N-Queens","https://leetcode.com/problems/n-queens","HARD","Array, Backtracking"
"Merge Two Sorted Lists","https://leetcode.com/problems/merge-two-sorted-lists","EASY","Linked List, Recursion"
"The Skyline Problem","https://leetcode.com/problems/the-skyline-problem","HARD","Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Line Sweep, Heap (Priority Queue), Ordered Set"
"Spiral Matrix","https://leetcode.com/problems/spiral-matrix","MEDIUM","Array, Matrix, Simulation"
"First Missing Positive","https://leetcode.com/problems/first-missing-positive","HARD","Array, Hash Table"
"Add Two Numbers","https://leetcode.com/problems/add-two-numbers","MEDIUM","Linked List, Math, Recursion"
"Roman to Integer","https://leetcode.com/problems/roman-to-integer","EASY","Hash Table, Math, String"
"Count Number of Pairs With Absolute Difference K","https://leetcode.com/problems/count-number-of-pairs-with-absolute-difference-k","EASY","Array, Hash Table, Counting"
"Candy","https://leetcode.com/problems/candy","HARD","Array, Greedy"
"Next Greater Element III","https://leetcode.com/problems/next-greater-element-iii","MEDIUM","Math, Two Pointers, String"
"Fraction Addition and Subtraction","https://leetcode.com/problems/fraction-addition-and-subtraction","MEDIUM","Math, String, Simulation"
"3Sum","https://leetcode.com/problems/3sum","MEDIUM","Array, Two Pointers, Sorting"
"Permutations","https://leetcode.com/problems/permutations","MEDIUM","Array, Backtracking"
"Amount of Time for Binary Tree to Be Infected","https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected","MEDIUM","Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
"Reverse String","https://leetcode.com/problems/reverse-string","EASY","Two Pointers, String"
"Integer to Roman","https://leetcode.com/problems/integer-to-roman","MEDIUM","Hash Table, Math, String"
"Longest Substring with At Most K Distinct Characters","https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters","MEDIUM","Hash Table, String, Sliding Window"
"Permutation in String","https://leetcode.com/problems/permutation-in-string","MEDIUM","Hash Table, Two Pointers, String, Sliding Window"
"Reorder List","https://leetcode.com/problems/reorder-list","MEDIUM","Linked List, Two Pointers, Stack, Recursion"
"Intersection of Two Linked Lists","https://leetcode.com/problems/intersection-of-two-linked-lists","EASY","Hash Table, Linked List, Two Pointers"
"Find the Duplicate Number","https://leetcode.com/problems/find-the-duplicate-number","MEDIUM","Array, Two Pointers, Binary Search, Bit Manipulation"
"Largest Number","https://leetcode.com/problems/largest-number","MEDIUM","Array, String, Greedy, Sorting"
"Valid Anagram","https://leetcode.com/problems/valid-anagram","EASY","Hash Table, String, Sorting"
"Rotate Array","https://leetcode.com/problems/rotate-array","MEDIUM","Array, Math, Two Pointers"
"Rotate Image","https://leetcode.com/problems/rotate-image","MEDIUM","Array, Math, Matrix"
"Jump Game II","https://leetcode.com/problems/jump-game-ii","MEDIUM","Array, Dynamic Programming, Greedy"
"Valid Sudoku","https://leetcode.com/problems/valid-sudoku","MEDIUM","Array, Hash Table, Matrix"
"Contains Duplicate II","https://leetcode.com/problems/contains-duplicate-ii","EASY","Array, Hash Table, Sliding Window"
"Unique Paths","https://leetcode.com/problems/unique-paths","MEDIUM","Math, Dynamic Programming, Combinatorics"
"Merge Sorted Array","https://leetcode.com/problems/merge-sorted-array","EASY","Array, Two Pointers, Sorting"
"Query Kth Smallest Trimmed Number","https://leetcode.com/problems/query-kth-smallest-trimmed-number","MEDIUM","Array, String, Divide and Conquer, Sorting, Heap (Priority Queue), Radix Sort, Quickselect"
"Remove Duplicate Letters","https://leetcode.com/problems/remove-duplicate-letters","MEDIUM","String, Stack, Greedy, Monotonic Stack"
"Zigzag Conversion","https://leetcode.com/problems/zigzag-conversion","MEDIUM","String"
"Interleaving String","https://leetcode.com/problems/interleaving-string","MEDIUM","String, Dynamic Programming"
